TA	Lineage
TA10069	1
TA10070	1
TA10071	1
TA10072	1
TA10073	1
TA10074	1
TA10075	1
TA10076	1
TA10077	1
TA10078	1
TA10079	1
TA10080	1
TA10082	1
TA10084	1
TA10088	1
TA10096	1
TA10097	1
TA10099	1
TA10100	1
TA10102	1
TA10105	1
TA10106	1
TA10108	1
TA10109	1
TA10110	1
TA10112	1
TA10114	1
TA10115	1
TA10116	1
TA10117	1
TA10118	1
TA10119	1
TA10120	1
TA10121	1
TA10122	1
TA10123	1
TA10125	1
TA10126	1
TA10127	1
TA10128	1
TA10129	1
TA10133	1
TA10134	1
TA10135	1
TA10136	1
TA10137	1
TA10138	1
TA10139	1
TA10140	1
TA10141	1
TA10143	1
TA10144	1
TA10145	1
TA10148	1
TA10155	1
TA10156	1
TA10157	1
TA10158	1
TA10159	1
TA10160	1
TA10161	1
TA10162	1
TA10163	1
TA10164	1
TA10165	1
TA10166	1
TA10167	1
TA10168	1
TA10169	1
TA10170	1
TA10171	1
TA10172	1
TA10173	1
TA10174	1
TA10175	1
TA10176	1
TA10177	1
TA10178	1
TA10179	1
TA10180	1
TA10181	1
TA10182	1
TA10183	1
TA10184	1
TA10185	1
TA10186	1
TA10187	1
TA10188	1
TA10189	1
TA10190	1
TA10191	1
TA10192	1
TA10193	1
TA10194	1
TA10195	1
TA10196	1
TA10197	1
TA10198	1
TA10199	1
TA10200	1
TA10202	1
TA10205	1
TA10210	1
TA10211	1
TA10212	1
TA10213	1
TA10291	1
TA10292	1
TA10293	1
TA10294	1
TA10295	1
TA10296	1
TA10297	1
TA10298	1
TA10299	1
TA10300	1
TA10301	1
TA10302	1
TA10303	1
TA10304	1
TA10305	1
TA10306	1
TA10307	1
TA10308	1
TA10309	1
TA10310	1
TA10311	1
TA10312	1
TA10313	1
TA10314	1
TA10315	1
TA10316	1
TA10317	1
TA10318	1
TA10319	1
TA10320	1
TA10321	1
TA10322	1
TA10323	1
TA10324	1
TA10325	1
TA10326	1
TA10327	1
TA10328	1
TA10329	1
TA10330	1
TA10331	1
TA10918	1
TA10920	1
TA10922	1
TA10923	1
TA10924	1
TA10925	1
TA10932	1
TA10953	1
TA10954	1
TA10955	1
TA10957	1
TA10958	1
TA10960	1
TA10961	1
TA11020	1
TA1577	1
TA1578	1
TA1579	1
TA1580	1
TA1587	1
TA1588	1
TA1589	1
TA1590	1
TA1591	1
TA1592	1
TA1593	1
TA1594	1
TA1595	1
TA1596	1
TA1597	1
TA1598	1
TA1601	1
TA1602	1
TA1603	1
TA1617	1
TA1620	1
TA1621	1
TA1623	1
TA1625	1
TA1629	1
TA1630	1
TA1631	1
TA1632	1
TA1633	1
TA1634	1
TA1639	1
TA1640	1
TA1650	1
TA1652	1
TA1655	1
TA1657	1
TA1676	1
TA1681	1
TA1688	1
TA1689	1
TA1692	1
TA1694	1
TA1697	1
TA1698	1
TA1699	1
TA1700	1
TA1704	1
TA1706	1
TA1707	1
TA1708	1
TA1709	1
TA1712	1
TA1716	1
TA1717	1
TA2118	1
TA2119	1
TA2123	1
TA2370	1
TA2371	1
TA2372	1
TA2373	1
TA2374	1
TA2379	1
TA2380	1
TA2381	1
TA2382	1
TA2383	1
TA2384	1
TA2385	1
TA2386	1
TA2387	1
TA2388	1
TA2389	1
TA2390	1
TA2391	1
TA2392	1
TA2393	1
TA2394	1
TA2395	1
TA2396	1
TA2397	1
TA2398	1
TA2399	1
TA2400	1
TA2401	1
TA2402	1
TA2403	1
TA2404	1
TA2405	1
TA2406	1
TA2407	1
TA2408	1
TA2409	1
TA2410	1
TA2411	1
TA2412	1
TA2413	1
TA2414	1
TA2415	1
TA2416	1
TA2417	1
TA2419	1
TA2420	1
TA2421	1
TA2422	1
TA2423	1
TA2424	1
TA2425	1
TA2426	1
TA2427	1
TA2428	1
TA2429	1
TA2430	1
TA2431	1
TA2432	1
TA2433	1
TA2434	1
TA2435	1
TA2436	1
TA2437	1
TA2438	1
TA2439	1
TA2440	1
TA2441	1
TA2442	1
TA2443	1
TA2444	1
TA2445	1
TA2447	1
TA2448	1
TA2458	1
TA2462	1
TA2482	1
TA2486	1
TA2487	1
TA2488	1
TA2489	1
TA2492	1
TA2493	1
TA2494	1
TA2495	1
TA2500	1
TA2501	1
TA2502	1
TA2503	1
TA2504	1
TA2505	1
TA2506	1
TA2507	1
TA2508	1
TA2509	1
TA2510	1
TA2511	1
TA2512	1
TA2513	1
TA2514	1
TA2515	1
TA2516	1
TA2517	1
