TA,altitude,latitude,longitude
TA10069,1840,34.5,69.166667
TA10070,1840,34.5,69.166667
TA10071,1850,36,68.833333
TA10072,640,35.956332,68.712273
TA10073,670,35.956332,68.712273
TA10074,670,35.956332,68.712273
TA10075,670,35.956332,68.712273
TA10076,760,36,66.55
TA10077,1460,35.68333,71.76
TA10078,1480,35.66,71.77
TA10079,1000,40.163133,44.470596
TA10080,1200,39.684061,45.232872
TA10081,NA,NA,NA
TA10082,315,40.983686,47.122595
TA10083,25,39.842286,47.662811
TA10084,105,39.565471,47.635345
TA10085,1000,41.633212,46.650114
TA10086,600,41.200188,47.16735
TA10087,500,40.653872,47.740556
TA10088,70,40.43495,49.867623
TA10089,1000,40.569167,48.400833
TA10090,700,40.79,48.151944
TA10091,660,39.600278,47.143056
TA10092,500,40.551374,45.812988
TA10093,1000,39.086143,46.653991
TA10094,400,39.0525,46.612778
TA10095,640,39.516667,46.366667
TA10096,NA,NA,NA
TA10097,2025,39.733333,45.316667
TA10098,NA,NA,NA
TA10099,995,40.139722,44.527778
TA10100,1415,40.115364,44.738989
TA10101,NA,NA,NA
TA10102,400,41.474567,44.803576
TA10103,NA,NA,NA
TA10104,580,41.645472,44.854343
TA10105,580,41.645472,44.854343
TA10106,743,40.7081,72.878838
TA10107,743,40.7081,72.878838
TA10108,NA,NA,NA
TA10109,NA,38.483333,56.3
TA10110,650,37.70966,58.67524
TA10111,450,38.77764,56.291199
TA10112,NA,NA,NA
TA10113,650,37.809784,58.348389
TA10114,650,37.809784,58.348389
TA10115,650,37.809784,58.348389
TA10116,650,37.809784,58.348389
TA10117,650,37.809784,58.348389
TA10118,NA,37.966667,58.4
TA10119,650,37.809784,58.348389
TA10120,650,37.809784,58.348389
TA10121,803,39.933333,68.416667
TA10122,275,40.333333,68.766667
TA10123,1030,39.483333,67.25
TA10124,433,41.266667,69.216667
TA10125,497,38.65,66.216667
TA10126,NA,NA,NA
TA10127,470,41.838611,44.733889
TA10128,560,41.831712,44.739075
TA10129,1350,40.123698,44.734233
TA10130,1800,39.493046,46.345997
TA10131,1800,39.507882,46.338615
TA10132,NA,NA,NA
TA10133,NA,NA,NA
TA10134,930,44.31304,80.930786
TA10135,950,44.31304,80.930786
TA10136,730,43.814711,82.468872
TA10137,1000,43.844432,82.773743
TA10138,1000,43.844432,82.773743
TA10139,610,43.521599,82.692992
TA10140,455,34.263743,108.203402
TA10141,NA,NA,NA
TA10142,340,36.71889877,40.14749908
TA10143,400,35.52280045,38.75719833
TA10144,370,35.625,38.75559998
TA10145,NA,35.62559891,38.75859833
TA10155,940,39.46670151,67.5
TA10156,1070,39.46670151,67.83329773
TA10157,1590,39.75,68.63330078
TA10158,920,39.91669846,68.83329773
TA10159,680,40.08330154,69.11669922
TA10160,485,37.91669846,58.16669846
TA10161,420,37.91666667,58.11666667
TA10162,610,38,58.1167
TA10163,480,38.5667,56.4667
TA10164,520,38.5833,56.6333
TA10165,620,38.5833,56.6333
TA10166,580,38.341656,56.297379
TA10167,710,38.341656,56.297379
TA10168,920,38.3167,56.3833
TA10169,470,38.2,56.2
TA10170,507,38.16666667,56.05
TA10171,580,38.33333333,55.86666667
TA10172,545,38.45,56.36666667
TA10173,200,38.3,55.7
TA10174,140,38.25,55.7
TA10175,342,38.45,56
TA10176,895,38.31666667,56.43333333
TA10177,895,38.25,56.33333333
TA10178,895,38.25,56.33333333
TA10179,895,38.25,56.33333333
TA10180,78,38.53333333,57.16666667
TA10181,26,40.03333333,52.96666667
TA10182,280,37.85,58.36333333
TA10183,427,38.43194444,56.27888889
TA10184,1011,38.31666667,56.73333333
TA10185,1463,38.5,56.83333333
TA10186,307,38.58333333,57.11666667
TA10187,231,38.86416667,56.3375
TA10188,1073,38.48805556,56.70416667
TA10189,343,41.16666667,69.03333333
TA10190,343,41.1,69
TA10191,666,40.08333333,67.58333333
TA10192,733,39.96666667,37.5
TA10193,1228,39.5,67.38333333
TA10194,524,40.45,71.06666667
TA10195,443,40.41666667,71.2
TA10196,445,40.56666667,71.7
TA10197,398,40.83333333,71.5
TA10198,559,40.88333333,71.1
TA10199,631,38.36666667,67.86666667
TA10200,520,39.91666667,66.36666667
TA10202,881,40.942564,69.889526
TA10205,1150,41.083492,70.548706
TA10206,1240,40.92804,70.72998
TA10208,1370,40.551374,70.97168
TA10210,930,41.23333333,71.65183333
TA10211,660,40.83333333,72.43683333
TA10212,773,40.31666667,71.7672
TA10213,627,40.66666667,72.351
TA10291,1350,39.215745,70.526493
TA10292,1350,39.215745,70.526493
TA10293,450,38.525556,68.547222
TA10294,450,38.525556,68.547222
TA10295,450,38.525556,68.547222
TA10296,450,38.525556,68.547222
TA10297,450,38.525556,68.547222
TA10298,450,38.525556,68.547222
TA10299,450,38.525556,68.547222
TA10300,450,38.525556,68.547222
TA10301,450,38.525556,68.547222
TA10302,450,38.525556,68.547222
TA10303,450,38.525556,68.547222
TA10304,450,38.525556,68.547222
TA10305,1400,38.566667,69.316667
TA10306,1400,38.566667,69.316667
TA10307,1400,38.566667,69.316667
TA10308,1350,38.566667,69.316667
TA10309,1200,38.566667,69.316667
TA10310,1600,38.566667,69.316667
TA10311,1600,38.716667,70.466667
TA10312,1800,38.716667,70.466667
TA10313,1800,38.716667,70.466667
TA10314,1300,39.215745,70.526493
TA10315,800,38.583333,68.8
TA10316,800,38.583333,68.8
TA10317,800,38.583333,68.8
TA10318,800,38.583333,68.8
TA10319,800,38.583333,68.8
TA10320,2000,39.216667,71.2
TA10321,2000,39.216667,71.2
TA10322,550,39.910556,69.006389
TA10323,550,39.910556,69.006389
TA10324,550,39.910556,69.006389
TA10325,400,40.283333,69.616667
TA10326,400,40.283333,69.616667
TA10327,800,40.283333,69.616667
TA10328,800,40.283333,69.616667
TA10329,2550,42.05745,79.07959
TA10330,2550,42.05745,79.07959
TA10331,1200,40.216667,69.233333
TA10332,1200,40.216667,69.233333
TA10417,NA,NA,NA
TA10836,1800,38.77528,48.41528
TA10837,644,40.75,48.73333333
TA10838,780,40.98139,47.84583
TA10839,729,40.79016,48.151531
TA10869,NA,40.63333333,48.61666667
TA10871,NA,38.75,48.4
TA10872,NA,40.5,50
TA10918,521,41.60986,44.80171
TA10919,521,41.60986,44.80171
TA10920,521,41.60986,44.80171
TA10921,521,41.60986,44.80171
TA10922,521,41.60986,44.80171
TA10923,521,41.60986,44.80171
TA10924,493,41.59709,44.84019
TA10925,493,41.59709,44.84019
